id,Author,Journal,Year,SppLatin,SppPhylo,SppCommon,Family,Order,Flight,Bird.Type,SppMass,Location,Continent,Sexes,Ages,Control.Group..Y...N.,Effect.Size,Nsamp,How,Type,SubType,Period.Tracked,Tag.Type,Attachment.Type,AttachmentClass,Attachment.Position,Tag.Weight,Weight.Proportion,WeightRaw,Deployment.Duration,Study,Inclusion,,,
78,Palmer,J Wildl Manag,2007,Colinus virginianus,Colinus_virginianus,Bobwhite quail,Odontophoridae,Galliformes,flap,gamebird,150,USA,N America,male,ad,Y,0.032,1555,Contingency,Survival,Returns,annual,VHF,pendant,Pendant,neck,6,0.045,0.045,365,Palmer J Wildl Manag 2007Survival,1,,,
79,Palmer,J Wildl Manag,2007,Colinus virginianus,Colinus_virginianus,Bobwhite quail,Odontophoridae,Galliformes,flap,gamebird,150,USA,N America,female,ad,Y,0.0342,1301,Contingency,Survival,Returns,annual,VHF,pendant,Pendant,neck,6,0.045,0.045,365,Palmer J Wildl Manag 2007Survival,1,,,
80,Paredes,Anim Behav,2005,Uria lomvia,Uria_lomvia,thick-billed Murre,Alcidae,Charadriiformes,flap,seabird,935,Canada,N America,both,ad,Y,-0.207,66,Contingency,Survival,Returns,annual,TDR,"tape, cable tie and glue",TapeGlue,Back,20,2.14%,0.021390374,14,Paredes Anim Behav 2005Survival,1,,,
81,Paruk,Condor,2015,Gavia immer,Gavia_immer,Common Loon,Gaviidae,Gaviiformes,flap,other,4500,USA,N America,both,ad,Y,0.228,51,Contingency,Survival,Returns,indepjuv,PTT,implant,Subcut,internal,53,1.18%,0.011777778,365,Paruk Condor 2015Survival,1,,,
82,Paton,J Wildl Manag,1991,Strix occidentalis,Strix_occidentalis,Spotted Owl,Strigidae,Strigiformes,flap,raptor,590,USA,N America,male,ad,Y,0.003,159,Contingency,Survival,Returns,annual,VHF,backpack harness,Harness,Back,18.5,3.14%,0.031355932,365,Paton J Wildl Manag 1991Survival,1,,,
83,Paton,J Wildl Manag,1991,Strix occidentalis,Strix_occidentalis,Spotted Owl,Strigidae,Strigiformes,flap,raptor,660,USA,N America,female,ad,Y,-0.24,144,Contingency,Survival,Returns,annual,VHF,backpack harness,Harness,Back,18.5,2.80%,0.028030303,365,Paton J Wildl Manag 1991Survival,1,,,
84,Peterson,Condor,2015,Vermivora chrysoptera,Vermivora_chrysoptera,Golden-winged warbler,Parulidae,Passeriformes,flap,passerine,10,USA,N America,both,ad,Y,0.024,71,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.51,5.10%,0.051,365,Peterson Condor 2015Survival,1,,,
85,Phillips,Auk,2003,Thalassarche melanophrys,Thalassarche_melanophrys,Blackbrowed Albatross,Diomedidae,Procellariformes,soar,seabird,3225,South Georgia,Antarctica,both,ad,Y,0.0475,494,Contingency,Survival,Returns,breeding,PTT,tesa tape to feathers,TapeGlue,Back,30,0.93%,0.009302326,50,Phillips Auk 2003Survival,1,,,
86,Pollet,J Field Ornith,2014a,Oceanodroma leucorhoa,Oceanodroma_leucorhoa,Leach’s Storm-petrels,Hydrobatidae,Procellariformes,both,seabird,46.3,Canada,N America,both,ad,Y,0.0545,464,Contingency,Survival,Returns,annual,GLS,sutured and glue,TapeGlue,Back,1.3,2.81%,0.028077754,365,Pollet J Field Ornith 2014aSurvival,1,,,
87,Pollet,J Field Ornith,2014a,Oceanodroma leucorhoa,Oceanodroma_leucorhoa,Leach’s Storm-petrels,Hydrobatidae,Procellariformes,both,seabird,51.1,Canada,N America,both,ad,Y,0.0326,83,Contingency,Survival,Returns,annual,GLS,leg ring,legband,leg,1.1,2.15%,0.021526419,365,Pollet J Field Ornith 2014aSurvival,1,,,
88,Powell,J Field Ornith,1998,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,50,USA,N America,both,ad,Y,0.0809,249,Contingency,Survival,Returns,annual,VHF,thigh harness,Harness,leg,1.6,3.20%,0.032,365,Powell J Field Ornith 1998Survival,1,,,
89,Ratcliffe,Mar Ornith,2014,Eudyptes chrysolophus,Eudyptes_chrysolophus,Macaroni Penguin,Spheniscidae,Sphenisciformes,flightless,penguin,4400,South Georgia,Antarctica,both,ad,Y,-0.0848,624,Contingency,Survival,Returns,nonbreeding,GLS,cable tie,legband,leg,2,0.05%,0.000454545,270,Ratcliffe Mar Ornith 2014Survival,1,,,
90,Reynolds,J Wild Man,2004,Accipiter gentilis,Accipiter_gentilis,Northern Goshawk,Accipitridae,Accipitriformes,flap,raptor,912,USA,N America,male,ad,Y,-0.25,308,M & SD,Survival,MARK,annual,VHF,Tailmount,Tail Mount,tail,10,1.10%,0.010964912,365,Reynolds J Wild Man 2004Survival,1,,,
91,Reynolds,J Wild Man,2004,Accipiter gentilis,Accipiter_gentilis,Northern Goshawk,Accipitridae,Accipitriformes,flap,raptor,1000,USA,N America,both,ad,Y,0.0238,309,M & SD,Survival,MARK,annual,VHF,backpack,Harness,Back,23,2.30%,0.023,365,Reynolds J Wild Man 2004Survival,1,,,
92,Robert,International journal of waterbird biology,2006,Bucephala islandica,Bucephala_islandica,Barrow's Goldeneye,Anatidae,Anseriformes,flap,waterfowl,557.1428571,Canada,N America,female,ad,Y,-0.91,29,Contingency,Survival,Returns,annual,VHF,Backpack harness,Harness,Back,19.5,3.50%,0.035,365,Robert International journal of waterbird biology 2006Survival,1,,,
93,Robinson & Jones,Behav,2014,Aethia cristatella,Aethia_cristatella,Crested Auklet,Alcidae,Charadriiformes,flap,seabird,260,USA,N America,male,ad,Y,-0.603,72,Contingency,Survival,Returns,annual,GLS,Screwed on to leg ring,legband,leg,2.93,1.13%,0.011269231,365,Robinson & Jones Behav 2014Survival,1,,,
94,Robinson & Jones,Behav,2014,Aethia cristatella,Aethia_cristatella,Crested Auklet,Alcidae,Charadriiformes,flap,seabird,260,USA,N America,female,ad,Y,-0.591,57,Contingency,Survival,Returns,annual,GLS,Screwed on to leg ring,legband,leg,2.93,1.13%,0.011269231,365,Robinson & Jones Behav 2014Survival,1,,,
95,Rodriguez,Sci Reports,2015,Calonectris diomedea,Calonectris_diomedea,Cory's shearwater,Procellariidae,Procellariformes,soar,seabird,800,Canary Islands,Europe,both,juv,Y,0.0263,163,Contingency,Survival,Returns,indepjuv,GPS,tape,TapeGlue,Back,17,2.13%,0.02125,5,Rodriguez Sci Reports 2015Survival,1,,,
96,Rodriguez-Ruiz,Ibis,2016,Coracias garrulus,Coracias_garrulus,European Roller,Coraciidae,Coraciiformes,flap,passerine,140,Spain,Europe,both,ad,Y,-0.473,35,Contingency,Survival,Returns,annual,GLS,back harness,Harness,Back,3.6,2.57%,0.025714286,365,Rodriguez-Ruiz Ibis 2016Survival,1,,,
97,Rodriguez-Ruiz,Ibis,2016,Coracias garrulus,Coracias_garrulus,European Roller,Coraciidae,Coraciiformes,flap,passerine,140,Portugal,Europe,both,ad,Y,-0.24,40,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,leg,2.4,1.71%,0.017142857,365,Rodriguez-Ruiz Ibis 2016Survival,1,,,
98,Ross,Anim Mig,2014,Chondestes grammacus,Chondestes_grammacus,Lark Sparrow,Emberizidae,Passeriformes,flap,passerine,26,USA,N America,both,ad,Y,-0.156,102,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.8,3.08%,0.030769231,365,Ross Anim Mig 2014Survival,1,,,
99,Ryder,Auk,2011,Dumetella carolinensis,Dumetella_carolinensis,Gray Catbird,Mimidae,Passeriformes,flap,passerine,36,USA,N America,both,ad,Y,0.0105,316,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.6,4.44%,0.044444444,365,Ryder Auk 2011Survival,1,,,
100,Salewski,J Ornith,2013,Acrocephalus paludicola,Acrocephalus_paludicola,Aquatic Warbler,Acrocephalidae,Passeriformes,flap,passerine,12.4,Ukraine,Europe,both,ad,Y,-0.232,46,Contingency,Survival,Returns,annual ,GLS,Leg loop harness,Harness,Back,0.67,5.40%,0.054032258,365,Salewski J Ornith 2013Survival,1,,,
101,Scandolara,J Av Biol,2014,Hirundo rustica,Hirundo_rustica,Barn swallow ,Hirundinidae,Passeriformes,flap,passerine,19,Switzerland/Italy,Europe,male,ad,Y,-0.121,568,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.77,4.05%,0.040526316,365,Scandolara J Av Biol 2014Survival,1,,,
102,Scandolara,J Av Biol,2014,Hirundo rustica,Hirundo_rustica,Barn swallow ,Hirundinidae,Passeriformes,flap,passerine,19,Switzerland/Italy,Europe,female,ad,Y,-0.171,471,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,0.77,4.05%,0.040526316,365,Scandolara J Av Biol 2014Survival,1,,,
103,Schmaljohan,Behav Ecol Socio,2012,Oenanthe oenanthe,Oenanthe_oenanthe,Northern Wheatear,Muscicapidae,Passeriformes,flap,passerine,23,Germany,Europe,male,ad,Y,-0.192,127,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.4,6.09%,0.060869565,365,Schmaljohan Behav Ecol Socio 2012Survival,1,,,
104,Schmutz,J Wildl Manag,2000,Chen canagica,Chen_canagica,Emperor goose,Anatidae,Anseriformes,flap,waterfowl,2800,USA,N America,both,ad,Y,-0.0287,144,M & SD,Survival,MARK,annual,VHF,collar,Collar,neck,19,0.678571429,0.00678,265,Schmutz J Wildl Manag 2000Survival,1,,,
105,Seavy,PLoS one,2012,Zonotrichia atricapilla,Zonotrichia_atricapilla,Golden-crowned Sparrow,Emberizidae,Passeriformes,flap,passerine,33,USA,N America,both,ad,Y,-0.0618,61,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.1,3.33%,0.033333333,365,Seavy PLoS one 2012Survival,1,,,
106,Sergio,J Appl Ecol,2015,Milvus migrans,Milvus_migrans,Black Kite,Accipitridae,Accipitriformes,soar,raptor,790,Spain,Europe,both,both,Y,0.0901,80,M & SD,Survival,MARK,annual,GPS,teflon backpack harness,Harness,Back,29.8,3.77%,0.037721519,365,Sergio J Appl Ecol 2015Survival,1,,,
107,Sergio,J Appl Ecol,2015,Milvus migrans,Milvus_migrans,Black Kite,Accipitridae,Accipitriformes,soar,raptor,790,Spain,Europe,both,both,Y,0.123,114,M & SD,Survival,MARK,annual,GPS,teflon backpack harness,Harness,Back,29.8,3.77%,0.037721519,365,Sergio J Appl Ecol 2015Survival,1,,,
108,Sim,Bird Study,2015,Turdus torquatus,Turdus_torquatus,Ring ouzel,Turdidae,Passeriformes,flap,passerine,105,Scotland,Europe,male,ad,Y,-0.311,20,Contingency,Survival,Returns,annual,GLS,leg-loop harness,Harness,Back,1.5,1.43%,0.014285714,365,Sim Bird Study 2015Survival,1,,,
109,Smith,Ibis,2014,Phalaropus lobatus ,Phalaropus_lobatus,Red-necked Phalarope,Scolopacidae,Charadriiformes,flap,wader,36,Scotland,Europe,both,ad,Y,-0.0729,30,Contingency,Survival,Returns,annual,GLS,leg-loop harness,Harness,Back,0.67,1.86%,0.018611111,365,Smith Ibis 2014Survival,1,,,
110,Sodhi,J Wild Man,1991,Falco columbarius,Falco_columbarius,Merlin,Falconidae,Falconiformes,soar,raptor,166,Canada,N America,both,ad,Y,0.0856,158,Contingency,Survival,Returns,breeding,VHF,,Harness,leg,4,2.40%,0.024,90,Sodhi J Wild Man 1991Survival,1,,,
111,Sohle,Emu,2003,Puffinus griseus,Puffinus_griseus,Sooty shearwater,Procellariidae,Procellariformes,both,seabird,800,Otago Peninsula,Australasia,both,ad,Y,0.0034,159,Contingency,Survival,Returns,annual,VHF,glue,TapeGlue,Back,25.5,3.19%,0.031875,365,Sohle Emu 2003Survival,1,,,
112,Sohle,NZ J Zool,2000,Puffinus griseus,Puffinus_griseus,Sooty shearwater,Procellariidae,Procellariformes,both,seabird,775,Otago Peninsula,Australasia,both,ad,Y,-0.09,37,ChiSq,Survival,Returns,breeding,VHF,glue or tesa,TapeGlue,Back,24.2,3.12%,0.031225806,21,Sohle NZ J Zool 2000Survival,1,,,
113,Sorenson,J Field Ornith,1989,Aythya americana,Aythya_americana,Redhead,Anatidae,Anseriformes,flap,waterfowl,1060,USA,N America,female,both,Y,-0.406,18,Contingency,Survival,Returns,annual,PTT,neck collar,Collar,neck,11,1.037735849,0.01,365,Sorenson J Field Ornith 1989Survival,1,,,
114,Stanley,Cons Biol,2015,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,46,USA,N America,both,ad,Y,0.129,208,Contingency,Survival,Returns,annual,GLS,tefflon ribbon leg-loop harness,Harness,Back,1.6,3.48%,0.034782609,365,Stanley Cons Biol 2015Survival,1,,,
115,Stanley,Cons Biol,2015,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,46,USA,N America,male,ad,Y,-0.0437,313,Contingency,Survival,Returns,annual,GLS,tefflon ribbon leg-loop harness,Harness,Back,2,4.35%,0.043478261,365,Stanley Cons Biol 2015Survival,1,,,
116,Stanley,Cons Biol,2015,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,46,Costa Rica,N America,both,ad,Y,0.225,209,Contingency,Survival,Returns,annual,GLS,tefflon ribbon leg-loop harness,Harness,Back,1.6,3.48%,0.0348,365,Stanley Cons Biol 2015Survival,1,,,
117,Stanley,Cons Biol,2015,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,46,Belize,N America,both,ad,Y,0.1,173,Contingency,Survival,Returns,annual,GLS,tefflon ribbon leg-loop harness,Harness,Back,1.6,3.48%,0.0348,365,Stanley Cons Biol 2015Survival,1,,,
118,Stanley,Unpub,2010,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,50,Costa Rica,South America,both,ad,Y,0.225,209,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.5,3.00%,0.03,365,Stanley Unpub 2010Survival,1,,,
119,Stanley,Unpub,2010,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,50,Belize,South America,both,ad,Y,0.0326,151,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.5,3.00%,0.03,365,Stanley Unpub 2010Survival,1,,,
120,Stutchbury,Science,2009,Progne subis,Progne_subis,Purple martin,Hirundinidae,Passeriformes,flap,passerine,49,USA,N America,both,ad,Y,-0.138,348,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.5,3.06%,0.030612245,365,Stutchbury Science 2009Survival,1,,,
121,Stutchbury,Science,2009,Hylocichla mustelina,Hylocichla_mustelina,Wood thrush,Turdidae,Passeriformes,flap,passerine,50,USA,N America,both,ad,Y,0.13,208,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.5,3.00%,0.03,365,Stutchbury Science 2009Survival,1,,,
122,Stutchbury,Unpub,2012,Progne subis,Progne_subis,Purple martin,Hirundinidae,Passeriformes,flap,passerine,49,USA,N America,both,ad,Y,0.0404,669,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.1,2.24%,0.02244898,365,Stutchbury Unpub 2012Survival,1,,,
123,Sunde,J Wild Man,2006,Strix aluco,Strix_aluco,Tawny Owl,Strigidae,Strigiformes,flap,raptor,600,Denmark,Europe,both,ad,Y,0.0096,150,M & SD,Survival,MARK,annual,VHF,backpack harness,Harness,Back,13,0.03%,0.000325,365,Sunde J Wild Man 2006Survival,1,,,
124,Takahashi,Ornithol Sci,2008,Calonectris leucomelas,Calonectris_leucomelas,streaked shearwater,Procellariidae,Procellariformes,both,seabird,535,Japan,Asia,both,ad,Y,-0.0253,29,Contingency,Survival,Returns,annual,GLS,leg ring,legband,leg,7,1.31%,0.013084112,290,Takahashi Ornithol Sci 2008Survival,1,,,
125,Terhune,J Wild Man,2007,Colinus virginianus,Colinus_virginianus,Bobwhite quail,Odontophoridae,Galliformes,flap,gamebird,150,USA,N America,both,both,Y,-0.0051,6568,M & SD,Survival,MARK,annual,VHF,birds >132 pendent style,Pendant,neck,6,4.50%,0.045,90,Terhune J Wild Man 2007Survival,1,,,
126,Thaxter,Ibis,2016,Catharacta skua,Catharacta_skua,Great Skua,Stercorariidae,Charadriiformes,both,seabird,1330,UK,Europe,both,ad,Y,-0.883,58,Contingency,Survival,Returns,annual,GPS,wing harness,Harness,Back,24,1.80%,0.018045113,365,Thaxter Ibis 2016Survival,1,,,
127,Thaxter,Ibis,2016,Larus fuscus,Larus_fuscus,Lesser Blackbacked Gull,Laridae,Charadriiformes,both,seabird,750,UK,Europe,both,ad,Y,0.334,127,Contingency,Survival,Returns,annual,GPS,wing harness,Harness,Back,21,2.80%,0.028,365,Thaxter Ibis 2016Survival,1,,,
128,Thirgood,Wild Biol,1995,Lagopus lagopus,Lagopus_lagopus,Red Grouse,Phasianidae,Galliformes,flap,gamebird,700,Scotland,Europe,male,ad,Y,0.107,49,Contingency,Survival,Returns,annual,VHF,neck lace harness,Harness,neck,15,2.14%,0.021428571,365,Thirgood Wild Biol 1995Survival,1,,,
129,Thirgood,Wild Biol,1995,Lagopus lagopus,Lagopus_lagopus,Red Grouse,Phasianidae,Galliformes,flap,gamebird,650,Scotland,Europe,female,ad,Y,-0.15,39,Contingency,Survival,Returns,annual,VHF,neck lace harness,Harness,neck,15,2.31%,0.023076923,365,Thirgood Wild Biol 1995Survival,1,,,
130,Thirgood,Wild Biol,1995,Lagopus lagopus,Lagopus_lagopus,Red Grouse,Phasianidae,Galliformes,flap,gamebird,700,Scotland,Europe,male,juv,Y,0.0045,33,Contingency,Survival,Returns,annual,VHF,neck lace harness,Harness,neck,15,2.14%,0.021428571,365,Thirgood Wild Biol 1995Survival,1,,,
131,Thirgood,Wild Biol,1995,Lagopus lagopus,Lagopus_lagopus,Red Grouse,Phasianidae,Galliformes,flap,gamebird,650,Scotland,Europe,female,juv,Y,-0.1005,40,Contingency,Survival,Returns,annual,VHF,neck lace harness,Harness,neck,15,2.31%,0.023076923,365,Thirgood Wild Biol 1995Survival,1,,,
132,Thorup,J Ornithol,2013,Athene noctua,Athene_noctua,Little Owl,Strigidae,Strigiformes,flap,raptor,150,Denmark,Europe,both,both,Y,-0.152,116,M & SD,Survival,MARK,nonbreeding,VHF,legring,legband,leg,4,2.67%,0.026666667,120,Thorup J Ornithol 2013Survival,1,,,
133,Townsend,J Field Ornith,2012,Catharus bicknelli,Catharus_bicknelli,Bicknell's Thrush,Turdidae,Passeriformes,flap,passerine,26.7,Dominican Republic,N America,male,ad,Y,-0.0112,161,Contingency,Survival,Returns,annual,VHF,leg loop harness,Harness,Back,1.2,4.49%,0.04494382,365,Townsend J Field Ornith 2012Survival,1,,,
134,Townsend,J Field Ornith,2012,Catharus bicknelli,Catharus_bicknelli,Bicknell's Thrush,Turdidae,Passeriformes,flap,passerine,26.7,Dominican Republic,N America,female,ad,Y,0.0857,67,Contingency,Survival,Returns,annual,VHF,leg loop harness,Harness,Back,1.2,4.49%,0.04494382,365,Townsend J Field Ornith 2012Survival,1,,,
135,van der Winden,waterbirds,2014,Chlidonias niger,Chlidonias_niger,Black tern,Sternidae,Charadriiformes,flap ,seabird,73,Netherlands,Europe,both,ad,Y,-0.104,50,Contingency,Survival,Returns,migration,GLS,lep-loop backpack harness,Harness,Back,1.5,2.05%,0.020547945,365,van der Winden waterbirds 2014Survival,1,,,
136,van der Winden,waterbirds,2014,Chlidonias niger,Chlidonias_niger,Black tern,Sternidae,Charadriiformes,flap ,seabird,73,Netherlands,Europe,both,ad,Y,-0.225,39,Contingency,Survival,Returns,migration,GLS,leg ring,legband,leg,1.5,2.05%,0.020547945,365,van der Winden waterbirds 2014Survival,1,,,
137,Van Wijk,Ibis,2013,Jynx torquilla,Jynx_torquilla,Wryneck,Picidae,Piciformes,flap,passerine,33,Germany/switzerland,Europe,both,ad,Y,0.059,198,Contingency,Survival,Returns,migration,GLS,silicon leg-loop harness,Harness,Back,1.2,3.64%,0.036363636,365,Van Wijk Ibis 2013Survival,1,,,
138,van Wijk,J Ornithol,2016,Upupa epops,Upupa_epops,Eurasian Hoopoe,Upupidae,Bucerotiformes,flap,passerine,70.5,Switzerland,Europe,both,ad,Y,-0.0215,354,M & SD,Survival,Returns,annual,GLS,legband,legband,leg,1.32,1.87%,0.018723404,365,van Wijk J Ornithol 2016Survival,1,,,
139,Ward,J Wild Man,1994,Branta bernicla,Branta_bernicla,Brent Goose,Anatidae,Anseriformes,flap,waterfowl,1300,USA,N America,female,ad,Y,-0.591,163,Contingency,Survival,Returns,annual,VHF,back mounted & teflon ribbon harness,Harness,Back,35,3.4,0.034,180,Ward J Wild Man 1994Survival,1,,,
140,Young,PLoS One,2009,Phoebastria immutabilis,Phoebastria_immutabilis,Laysan albatross,Diomedidae,Procellariformes,soar,seabird,3200,USA,N America,both,ad,Y,0,63,Contingency,Survival,Returns,annual,GLS,leg band,legband,leg,9,0.28%,0.0028125,365,Young PLoS One 2009Survival,1,,,
141,Phillips,Auk,2003,Thalassarche melanophrys,Thalassarche_melanophrys,Blackbrowed Albatross,,,soar,seabird,3225,South Georgia,Antarctica,both,ad,Y,-0.0417,23,"ChiSq = 0.04, though lower in tagged just",Breeding,Fledglings Produced,breeding,PTT,tesa tape to feathers,TapeGlue,back,30,0.93%,,50,Phillips Auk 2003Breeding,1,,,
142,Phillips,Auk,2003,Thalassarche melanophrys,Thalassarche_melanophrys,Blackbrowed Albatross,,,soar,seabird,3225,South Georgia,Antarctica,both,ad,Y,-0.0258,494,Contingency,Breeding,Bred next year,breeding,PTT,tesa tape to feathers,TapeGlue,back,30,0.93%,,50,Phillips Auk 2003Breeding,1,,,
143,Steenhof,Wildl Soc Bull,2006,Falco mexicanus,Falco_mexicanus,Prairie Falcon,,,flap,raptor,920,USA,N America,female,ad,Y,-0.235,22,Contingency,Breeding,Bred next year,annual,PTT,neck & body looped teflon backpack harness,Harness,back,35,3.80%,,NA,Steenhof Wildl Soc Bull 2006Breeding,1,,,
144,Villard,J Wildl Manag,2011,Calonectris diomedea,Calonectris_diomedea,Cory's Shearwater,,,both,seabird,653,France,Europe,both,ad,Y,-0.07,101,M & SD,Breeding,Chick Mass,breeding,PTT,tesa tape to humeral feathers,TapeGlue,back,25,3.83%,,48,Villard J Wildl Manag 2011Breeding,1,,,
145,Adams,NZ J Zool,2009,Puffinus griseus,Puffinus_griseus,Sooty Shearwater,,,soar,seabird,785,New Zealand,Australasia,both,ad,Y,-0.597,49,M & SD,Breeding,Chick Mass,breeding,GLS,leg ring,Legband,leg,11,1.40%,,NA,Adams NZ J Zool 2009Breeding,1,,,
146,Barbraud,J Orntih,2012,Diomedea exulans,Diomedea_exulans,Wandering Albatross,,,soar,seabird,9000,Crozet Islands,Antarctica,male,ad,Y,0.0491,693,t test,Breeding,Breeding Success,breeding,PTT,tesa to feathers,TapeGlue,back,180,2.2,,12,Barbraud J Orntih 2012Breeding,1,,,
147,Barbraud,J Orntih,2012,Diomedea exulans,Diomedea_exulans,Wandering Albatross,,,soar,seabird,9000,Crozet Islands,Antarctica,female,ad,Y,0.0315,937,t test,Breeding,Breeding Success,breeding,PTT,tesa to feathers,TapeGlue,back,180,2.2,,12,Barbraud J Orntih 2012Breeding,1,,,
148,Verkasy,J Field Ornith,1996,Falco mexicanus,Falco_mexicanus,Prairie Falcon,,,flap,raptor,943.8,USA,N America,both,ad,Y,-0.02,138,ANOVA F,Breeding,Brood Size,annual,VHF,teflon backpack harness,Harness,back,14,1.48%,,730,Verkasy J Field Ornith 1996Breeding,1,,,
149,Verkasy,J Field Ornith,1996,Falco mexicanus,Falco_mexicanus,Prairie Falcon,,,flap,raptor,943.8,USA,N America,both,ad,Y,0.13,103,ANOVA F,Breeding,Chick Mass,annual,VHF,teflon backpack harness,Harness,back,14,1.48%,,730,Verkasy J Field Ornith 1996Breeding,1,,,
150,Verkasy,J Field Ornith,1996,Falco mexicanus,Falco_mexicanus,Prairie Falcon,,,flap,raptor,943.8,USA,N America,both,ad,Y,0.01,115,ANOVA F,Breeding,Chick Mass,annual,VHF,teflon backpack harness,Harness,back,14,1.48%,,730,Verkasy J Field Ornith 1996Breeding,1,,,
151,Rishworth,Meth Ecold Evol,2015,Morus capensis,Morus_capensis,Cape gannet,,,both,seabird,2600,South Afirca,Africa,both,ad,Y,-0.105,20,Contingency,Breeding,Fledge Success,breeding,VHF,"wire to leg ring, then improved to wire and cable tie to leg ring",Legband,leg,10,0.38%,,430,Rishworth Meth Ecold Evol 2015Breeding,1,,,
152,van Wijk,J Ornithol,2016,Upupa epops,Upupa_epops,Eurasian Hoopoe,,,flap,passerine,70.5,Switzerland,Europe,both,ad,Y,-0.179,316,Stan Beta,Breeding,Brood Success,annual,GLS,legband,Legband,leg,1.32,1.87%,,365,van Wijk J Ornithol 2016Breeding,1,,,
153,van Wijk,J Ornithol,2016,Upupa epops,Upupa_epops,Eurasian Hoopoe,,,flap,passerine,70.5,Switzerland,Europe,both,ad,Y,-0.1,316,Stan Beta,Breeding,Fledglings Produced,annual,GLS,legband,Legband,leg,1.32,1.87%,,365,van Wijk J Ornithol 2016Breeding,1,,,
154,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,0.118,50,Contingency,Breeding,Hatch Success,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
155,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,0,45,M & SD,Breeding,Egg Size,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
156,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,0.19,45,ANOVA F,Breeding,Hatch Date,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
157,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,0.0263,44,Contingency,Breeding,Hatch Success,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
158,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,0.481,21,Contingency,Breeding,Fledge Success,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
159,Quillfeldt,Mar Biol,2012,Pachyptila belcheri,Pachyptila_belcheri,Thin-billed Prion,,,soar,seabird,130,Falkland Islands,South America,both,ad,Y,-0.0819,45,M & SD,Breeding,Chick Mass,annual,GLS,legband,Legband,leg,1.1,0.85%,,365,Quillfeldt Mar Biol 2012Breeding,1,,,
160,Ackerman,Wildlife Soc Bull ,2004,Ptychoramphus aleuticus,Ptychoramphus_aleuticus,Cassin's Auklet,,,flap,seabird,150,California,N America,both,ad,Y,0.33,38,ANOVA F,Breeding,Chick Growth,breeding,VHF,Subcutaneous prongs & glued transmitters to feathers,Subcut,back,3.1,2.07%,,50,Ackerman Wildlife Soc Bull  2004Breeding,1,,,
