id,Author,Journal,Year,SppLatin,SppPhylo,SppCommon,Family,Order,Flight,Bird.Type,SppMass,Location,Continent,Sexes,Ages,Control.Group..Y...N.,Effect.Size,Nsamp,How,Type,SubType,Period.Tracked,Tag.Type,Attachment.Type,AttachmentClass,Attachment.Position,Tag.Weight,Weight.Proportion,WeightRaw,Deployment.Duration,Study,Inclusion,,,
19,Conway,J Wildl Manag,2005,Athene cunicularia,Athene_cunicularia,Burrowing owl,Strigidae,Strigiformes,flap,raptor,150,USA,N America,both,juv,Y,-0.0207,595,Contingency,Survival,Returns,annual,VHF,poncho,Poncho,neck,6,3.260869565,0.032,1460,Conway J Wildl Manag 2005Survival,1,,,
20,Cormier,Auk,2013,Catharus ustulatus,Catharus_ustulatus,Swainson's Thrush,Turdidae,Passeriformes,flap,passerine,45,USA,N America,both,ad,Y,-0.075,64,ChiSq,Survival,ChiSq,annual ,GLS,legloop harness,Harness,Back,0.9,2.00%,0.02,730,Cormier Auk 2013Survival,1,,,
21,Cotter & Gratto,J Wild Man,1995,Lagopus muta,Lagopus_muta,Rock ptarmigan,Phasianidae,Galliformes,flap,gamebird,620,Canada,N America,male,ad,Y,-0.387,52,ChiSq,Survival,ChiSq,breeding,VHF,back mount and necklace,Harness,Back,18,2.90%,0.029032258,30,Cotter & Gratto J Wild Man 1995Survival,1,,,
22,Cotter & Gratto,J Wildl Manag,1988,Lagopus muta,Lagopus_muta,Rock Ptarmigan,Phasianidae,Galliformes,flap,gamebird,650,Canada,N America,male,ad,Y,-0.345,64,ChiSq,Survival,ChiSq,annual,VHF,backpack,Harness,Back,18,2.77%,0.027692308,18,Cotter & Gratto J Wildl Manag 1988Survival,1,,,
23,Dixon,Bird Study,2016,Falco cherrug,Falco_cherrug,Saker Falcon,Falconidae,Falconiformes,flap,raptor,1000,Mongolia,Asia,both,both,Y,-0.326,29,Contingency,Survival,Returns,annual,PTT,teflon backpack harness,Harness,Back,22,2.20%,0.022,365,Dixon Bird Study 2016Survival,1,,,
24,Eraud,PLoS one,2013,Streptopelia turtur,Streptopelia_turtur,Turtle Dove,Columbidae,Columbiformes,flap,passerine,160,France,Europe,both,ad,Y,-0.0166,182,ChiSq,Survival,ChiSq,annual,GLS,wing loog harness,Harness,Back,2.5,1.56%,0.015625,365,Eraud PLoS one 2013Survival,1,,,
25,Eraud,PLoS one,2013,Streptopelia turtur,Streptopelia_turtur,Turtle Dove,Columbidae,Columbiformes,flap,passerine,160,France,Europe,both,ad,Y,0.0283,175,ChiSq,Survival,ChiSq,annual,GLS,wing loog harness,Harness,Back,2.5,1.56%,0.015625,365,Eraud PLoS one 2013Survival,1,,,
26,Esler,J Wildl Manag,2000,Histrionicus histrionicus,Histrionicus_histrionicus,Harlequin Duck,Anatidae,Anseriformes,flap,waterfowl,606,USA,N America,female,ad,Y,-9.00E-04,208,Contingency,Survival,Returns,nonbreeding,VHF,surgically implanted,Subcut,internal,17.5,2.887788779,0.02887,180,Esler J Wildl Manag 2000Survival,1,,,
27,Fife,Av Cons,2015,Oceanodroma leucorhoa,Oceanodroma_leucorhoa,Leach’s Storm-petrels,Hydrobatidae,Procellariformes,both,seabird,41,Canada,N America,both,ad,Y,0.102,902,Contingency,Survival,MARK,breeding ,VHF,tape and glue,TapeGlue,Back,0.29,0.71%,0.007073171,60,Fife Av Cons 2015Survival,1,,,
28,Fife,Av Cons,2015,Oceanodroma leucorhoa,Oceanodroma_leucorhoa,Leach’s Storm-petrels,Hydrobatidae,Procellariformes,both,seabird,41,Canada,N America,both,ad,Y,0.188,182,Contingency,Survival,MARK,breeding ,GLS,tape and glue,TapeGlue,Back,1.3,3.17%,0.031707317,60,Fife Av Cons 2015Survival,1,,,
29,Fife,Av Cons,2015,Oceanodroma leucorhoa,Oceanodroma_leucorhoa,Leach’s Storm-petrels,Hydrobatidae,Procellariformes,both,seabird,46.3,Canada,N America,both,ad,Y,0.057,709,M & SD,Survival,MARK,annual,VHF,tape and glue,TapeGlue,Back,0.29,0.63%,0.006263499,365,Fife Av Cons 2015Survival,1,,,
30,Fort,PLoS one,2012,Alle alle,Alle_alle,Little Auk,Alcidae,Charadriiformes,flap,seabird,140,Greenland,Europe,both,ad,Y,-0.0463,176,Contingency,Survival,Returns,nonbreeding ,GLS,legband,legband,leg,1.4,1.00%,0.01,365,Fort PLoS one 2012Survival,1,,,
31,Foster,J Wildl Manag,1992,Strix occidentalis,Strix_occidentalis,Spotted Owl,Strigidae,Strigiformes,flap,raptor,625,USA,N America,both,ad,Y,-0.0777,842,from cohens D,Survival,MARK,annual,VHF,backpack harness,Harness,Back,29,4.64,0.0464,365,Foster J Wildl Manag 1992Survival,1,,,
32,Fraser,Proc B,2012,Progne subis,Progne_subis,Purple martin,Hirundinidae,Passeriformes,flap,passerine,49,USA,N America,both,ad,Y,0.123,428,Contingency,Survival,Returns,migration,GLS,teflon/thred leg-loop backpack harness,Harness,Back,1.6,3.27%,0.032653061,1460,Fraser Proc B 2012Survival,1,,,
33,Gervais,J Wildl Manag,2006,Athene cunicularia,Athene_cunicularia,Burrowing owl,Strigidae,Strigiformes,flap,raptor,150,USA,N America,both,ad,Y,-0.3118,126,Contingency,Survival,Returns,annual,VHF,necklace or teflon ribbon back pack,Harness,neck,5.1,3.4,0.034,365,Gervais J Wildl Manag 2006Survival,1,,,
34,Gervais,J Wildl Manag,2006,Athene cunicularia,Athene_cunicularia,Burrowing owl,Strigidae,Strigiformes,flap,raptor,150,USA,N America,male,ad,Y,-0.157,97,Contingency,Survival,Returns,annual,VHF,necklace or teflon ribbon back pack,Harness,neck,5.1,3.4,0.034,365,Gervais J Wildl Manag 2006Survival,1,,,
35,Gervais,J Wildl Manag,2006,Athene cunicularia,Athene_cunicularia,Burrowing owl,Strigidae,Strigiformes,flap,raptor,120,USA,N America,both,juv,Y,-0.0491,237,Contingency,Survival,Returns,annual,VHF,necklace or teflon ribbon back pack,Harness,neck,4.5,3.75,0.0375,365,Gervais J Wildl Manag 2006Survival,1,,,
36,Gibson,Condor,2013,Centrocercus urophasianus,Centrocercus_urophasianus,Sage Grouse,Phasianidae,Galliformes,flap,gamebird,1750,USA,N America,male,both,Y,-0.02,906,Coefficient,Survival ,MARK,annual,VHF,neck lace harness,Harness,neck,22,1.26%,0.012571429,365,Gibson Condor 2013Survival ,1,,,
37,Gomez,J Ornith,2014,Tachycineta bicolor,Tachycineta_bicolor,Tree Swallow,Hirundinidae,Passeriformes,flap,passerine,19.7,Canada,N America,both,ad,Y,-0.232,302,Contingency,Survival,Returns,annual,GLS,leg loop harness,Harness,Back,0.96,4.87%,0.048730964,365,Gomez J Ornith 2014Survival,1,,,
38,Guillemette,Condor,2002,Somateria mollissima,Somateria_mollissima,Common Eider,Anatidae,Anseriformes,flap,waterfowl,1700,Denmark,Europe,female,ad,Y,0.523,29,Contingency,Survival,Returns,annual,PTT,implant,Subcut,internal,16.5,0.97%,0.009705882,365,Guillemette Condor 2002Survival,1,,,
39,Hagen,Wild Soc Bull,2006,Tympanuchus pallidicinctus,Tympanuchus_pallidicinctus,Lesser Prairie Chicken,Phasianidae,Galliformes,flap,gamebird,790,USA,N America,male,both,Y,0.028,216,M & SD,Survival,MARK,nonbreeding,VHF,necklace collar,Collar,neck,12,1.52%,0.015189873,183,Hagen Wild Soc Bull 2006Survival,1,,,
40,Hines & Zwickel,J Wild Man,1985,Dendragapus obscurus,Dendragapus_obscurus,Blue Grouse,Phasianidae,Galliformes,flap,gamebird,1000,Canada,N America,both,juv,Y,-0.0206,427,Contingency,Survival,Returns,annual,VHF,back pack harness,Harness,Back,31,3.10%,0.031,365,Hines & Zwickel J Wild Man 1985Survival,1,,,
41,Hiraldo,J Field Ornith,1993,Falco naumanni,Falco_naumanni,Lesser Kestrel,Falconidae,Falconiformes,flap,raptor,120,Spain,Europe,both,ad,Y,-0.004,277,Contingency,Survival,Returns,breeding,VHF,attached to tail somehow,Tail Mount,tail,4.25,3.54%,0.035416667,84,Hiraldo J Field Ornith 1993Survival,1,,,
42,Hooijmeijer,J Ornith,2014,Limosa limosa,Limosa_limosa,Black-tailed Godwit,Scolopacidae,Charadriiformes,flap,wader,321,Netherlands,Europe,female,ad,Y,-0.312,56,Contingency,Survival,MARK,annual,PTT,implant,Subcut,internal,26,8.10%,0.080996885,365,Hooijmeijer J Ornith 2014Survival,1,,,
43,Hull,Condor,1997,Eudyptes schlegeli,Eudyptes_schlegeli,royal penguin,Spheniscidae,Sphenisciformes,flightless,penguin,5500,Macquarie Island,Australasia,both,ad,Y,0.0441,47,Contingency,Survival,Returns,onetrip,VHF,glue,TapeGlue,Back,9,0.16%,0.001636364,1,Hull Condor 1997Survival,1,,,
44,Hull,Condor,1997,Eudyptes schlegeli,Eudyptes_schlegeli,royal penguin,Spheniscidae,Sphenisciformes,flightless,penguin,5500,Macquarie Island,Australasia,both,ad,Y,-0.264,16,Contingency,Survival,Returns,onetrip,VHF,glue,TapeGlue,Back,9,0.16%,0.001636364,1,Hull Condor 1997Survival,1,,,
45,Hupp,J Wildl Manag,2006,Branta canadensis,Branta_canadensis,Canada Goose,Anatidae,Anseriformes,flap,waterfowl,1990,USA,N America,female,ad,Y,-0.054,14,M & SD,Survival,Returns,annual,VHF,implant,Subcut,internal,26,1.31%,0.0131,365,Hupp J Wildl Manag 2006Survival,1,,,
46,Hupp,J Wildl Manag,2006,Branta canadensis,Branta_canadensis,Canada Goose,Anatidae,Anseriformes,flap,waterfowl,1990,USA,N America,female,ad,Y,-0.319,14,M & SD,Survival,Returns,annual,VHF,implant,Subcut,internal,35,1.76%,0.0176,365,Hupp J Wildl Manag 2006Survival,1,,,
47,Igual,Mar Biol,2005,Calonectris diomedea,Calonectris_diomedea,Cory's shearwater,Procellariidae,Procellariformes,soar,seabird,850,"Congreso, Balearics",Europe,both,ad,Y,-0.0689,72,Contingency,Survival,Returns,annual,GLS,legband,legband,leg,12,1.41%,0.014117647,365,Igual Mar Biol 2005Survival,1,,,
